date,HSBK,KSPI,KZAP,KMGZ,KCEL,KEGC
2024-10-01,220.0,12000.0,120.0,700.0,780.0,1700.0
2024-11-01,225.51,12163.47,120.84,682.26,822.01,1810.36
2024-12-01,230.38,13704.82,128.47,692.25,860.05,1794.01
2025-01-01,245.66,14488.17,130.04,709.56,934.25,1881.43
2025-02-01,244.3,14404.42,135.45,810.44,963.25,1958.31
2025-03-01,277.47,15360.2,136.6,852.05,1028.01,2188.22
2025-04-01,280.73,14818.2,126.5,915.35,1058.07,2294.14
2025-05-01,275.5,15317.37,127.34,965.42,1110.83,2366.42
2025-06-01,290.75,16245.28,133.7,1108.55,1056.13,2384.91
2025-07-01,288.46,15760.14,129.39,1276.6,1002.54,2486.32
2025-08-01,266.95,16363.28,127.0,1318.83,1022.15,2562.31
2025-09-01,266.64,16163.83,135.94,1356.05,964.48,2440.64
2025-10-01,257.96,16927.28,136.75,1483.34,944.7,2457.78
2025-11-01,271.47,17417.83,144.85,1516.2,948.41,2492.64
2025-12-01,258.51,18083.17,137.14,1529.09,959.32,2538.85
2026-01-01,272.62,18932.23,135.27,1629.0,885.27,2409.07
2026-02-01,257.69,17346.57,135.67,1565.14,849.8,2496.47
2026-03-01,257.28,18788.5,125.94,1597.95,801.75,2447.14
2026-04-01,273.8,17331.7,131.83,1725.1,789.48,2380.45
2026-05-01,279.82,17244.8,135.13,1814.75,865.88,2470.68
2026-06-01,269.1,17569.44,136.07,2077.14,862.71,2556.09
2026-07-01,295.61,17286.21,132.5,2059.92,854.91,2507.0
2026-08-01,311.25,17912.0,118.41,1968.93,863.0,2657.16
2026-09-01,351.04,23758.75,132.77,2214.8,829.48,2792.98
