date,HSBK,KSPI,KZAP,KMGZ,KCEL,KEGC
2025-02-28,262.78,52721.99,18767.40,14133.99,3415.00,1489.00
2025-03-31,302.53,48200.00,17480.00,15000.00,3386.00,1477.49
2025-04-30,288.94,46300.00,17682.72,14970.00,3332.00,1481.00
2025-05-30,295.87,44150.00,19138.00,14850.00,3313.98,1435.60
2025-06-30,316.00,45750.00,22599.00,16616.00,3333.99,1449.99
2025-07-31,343.78,47358.00,22902.00,19862.00,3404.50,1449.01
2025-08-29,367.70,50480.00,24896.00,20100.00,3397.00,1441.90
2025-09-30,354.60,47500.00,28449.99,21939.99,3300.00,1475.01
2025-10-31,349.99,41400.00,30530.00,22400.00,3353.64,1421.00
2025-11-28,320.00,39445.00,28247.99,22160.00,3335.00,1395.00
2025-12-31,371.59,40390.00,28059.00,21720.00,3383.00,1555.00
2026-01-30,401.88,39901.00,41950.00,23999.99,3313.55,1471.95
2026-02-28,404.50,36450.00,41270.01,26050.01,3440.00,1461.05
2026-03-31,380.79,35350.00,37920.00,31700.00,3339.51,1457.87
2026-04-30,391.34,39950.00,40349.00,30900.00,3237.00,1499.00
2026-05-31,385.00,44129.00,36740.00,31275.00,3207.00,1442.20
2026-06-30,362.80,41905.00,34360.00,33990.00,3234.00,1444.70
2026-07-31,383.44,41802.38,31873.99,34772.00,3215.02,1441.00
2026-08-31,387.91,48508.08,34586.98,35264.99,3165.64,1473.87
